gaokao_rank,word,phonetic,translation,priority,local_corpus_count,local_corpus_rank,frq_rank,bnc_rank,collins,oxford,tags,exchange,definition
56,money,'mʌni,"n. 金钱, 一笔款, 财富, 货币, 金额；[经] 货币, 金钱, 财产",A,32,69,232,233,5,1,zk gk ielts,s:moneys,n. the most common medium of exchange; functions as legal tender n. wealth reckoned in terms of money n. the official currency issued by a government or national bank
57,listen,'lisn,"vi. 听, 倾听, 听从；n. 听, 倾听",A,31,71,609,850,4,1,zk gk,p:listened/i:listening/d:listened/3:listens,v. hear with intention v. listen and pay attention
58,work,wә:k,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程；vi. 工作, 劳动, 做, 运转, 起作用, 被加工；vt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成",A,30,73,117,125,5,1,zk gk,i:working/3:works/p:worked/d:worked,n. activity directed toward making or doing something n. a product produced or accomplished through the effort or activity or agency of a person or thing n. (physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force v. exert oneself by doing mental or physical work for a purpose or out of necessity
59,much,mʌtʃ,"n. 大量, 许多, 重要的事；a. 很多的, 重要的；adv. 多, 甚, 几乎",A,30,74,146,164,5,1,zk gk,,n. a great amount or extent a. (quantifier used with mass nouns) great in quantity or degree or extent r. to a great degree or extent r. very
60,sure,ʃuә,"a. 确信, 必然的, 必定的；adv. 当然, 确实地, 无疑地",A,30,75,347,386,5,1,zk gk,t:surest/r:surer,s. physically secure or dependable s. (of persons) worthy of trust or confidence s. infallible or unfailing s. certain not to fail
61,two,tu:,"num. 二, 二个",A,28,77,80,60,5,,zk gk,,n. the cardinal number that is the sum of one and one or a numeral representing this number s. being one more than one
62,kind,kaind,"n. 种类, 性质, 方式；a. 亲切的, 仁慈的, 和蔼的",A,28,79,250,337,2,1,zk gk,s:kinds/r:kinder/t:kindest,"n. a category of things distinguished by some common characteristic or quality a. having or showing a tender and considerate and helpful nature; used especially of persons and their behavior s. agreeable, conducive to comfort s. tolerant and forgiving under provocation"
63,please,pli:z,"adv. 请；vt. 使高兴, 合...的心意, 取悦；vi. 使人满意, 讨好, 愿意, 敬请",A,28,82,1167,758,4,1,zk gk,p:pleased/3:pleases/d:pleased/i:pleasing,v. give pleasure to or be pleasing to v. be the will of or have the will (to) v. give satisfaction r. used in polite request
64,cook,kuk,"n. 厨子, 厨师；vt. 烹调, 煮饭, 加热；vi. 在煮着",A,28,80,1419,2338,4,1,zk gk,i:cooking/d:cooked/p:cooked/s:cooks/3:cooks,n. someone who cooks food n. English navigator who claimed the east coast of Australia for Britain and discovered several Pacific islands (1728-1779) v. prepare a hot meal v. prepare for eating by applying heat
65,saying,'seiiŋ,"n. 叙述, 话, 说, 言论",A,27,85,5887,7543,1,,gk,0:say/1:i/i:saying/s:sayings,n. a word or phrase that particular people use in particular situations
66,over,'әuvә,"adv. 结束, 越过, 从头到尾；prep. 在...之上, 遍于...之上, 越过；a. 上面的；vt. 越过",A,26,86,124,110,5,1,zk gk,s:overs,n. (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch r. at or to a point across intervening space etc. r. throughout an area r. throughout a period of time
67,house,haus,"n. 房子, 住宅, 机构, 议院, 家族, 家庭；vt. 给...房子住, 收藏；vi. 住, 躲藏",A,26,88,257,148,5,1,zk gk toefl ielts,s:houses/i:housing/d:housed/3:houses/p:housed,n. a dwelling that serves as living quarters for one or more families n. the members of a religious community living together n. the audience gathered together in a theatre or cinema n. an official assembly having legislative powers
68,check,tʃek,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军；vt. 检查, 阻止, 核对, 寄存, 托运；vi. 逐项相符, 开支票；[计] 复选",A,26,87,854,997,4,1,zk gk toefl ielts gre,i:checking/d:checked/p:checked/s:checks/3:checks,n. a written order directing a bank to pay money n. the bill in a restaurant n. the act of inspecting or verifying n. a mark left after a small piece has been chopped or broken off of something
69,call,kɒ:l,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求；vt. 呼叫, 召集, 打电话；vi. 叫喊, 访问, 叫牌；[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",A,25,92,122,161,5,1,zk gk ielts,d:called/p:called/i:calling/s:calls/3:calls,"n. a telephone connection n. a special disposition (as if from a divine source) to pursue a particular course n. a demand especially in the phrase ""the call of duty"" n. a brief social visit"
70,name,neim,"n. 名字, 名称, 姓名, 名义, 名誉, 文件名；vt. 命名, 称呼, 任命, 提名, 列举；a. 姓名的, 据以取名的；[计] 名称, 文件名, 姓名",A,25,89,298,271,5,1,zk gk,s:names/d:named/p:named/i:naming/3:names,n. a language unit by which a person or thing is known n. a person's reputation n. family based on male descent n. a well-known or notable person
